header,author,publish_date,category,summary,text
,,,,,
,,,,,
Israel launches wave of retaliatory airstrikes against its enemy Iran,Euronews                      with AP,"26/10/2024,1:45 GMT+217:24",Iran,"Iran’s military said the strikes targeted military bases in Ilam, Khuzestan and Tehran provinces and caused 'limited damage,' without elaborating.","Israel attacked Iran with a series of pre-dawn airstrikes on Saturday in what it said was a response to the barrage of ballistic missiles the Islamic Republic fired upon Israel earlier in the month. The Israeli military said its aircraft targeted facilities that Iran used to make missiles fired at Israel as well as surface-to-air missile sites. There was no immediate indication that oil or missile sites were hit — strikes that would have marked a much more serious escalation — and Israel offered no immediate damage assessment. Explosions could be heard in the Iranian capital, Tehran, though the Islamic Republic insisted they caused only “limited damage” and Iranian state-run media downplayed the attacks. The Iranian army said four soldiers were killed in Israeli strikes. It is possible that the number of dead may be higher as Iran seeks to downplay the attacks. The strikes risk pushing the arch-enemies closer to all-out war at a time of spiralling violence across the Middle East, where militant groups backed by Iran — including Hamas in Gaza and Hezbollah in Lebanon — are already at war with Israel. “Iran attacked Israel twice, including in locations that endangered civilians, and has paid the price for it,” said Israeli military spokesperson Rear Adm. Daniel Hagari in a video statement. “We are focused on our war objectives in the Gaza Strip and Lebanon. It is Iran that continues to push for a wider regional escalation.” The strikes marked the first time Israel's military has openly attacked Iran, which hasn't faced a sustained barrage of fire from a foreign enemy since its 1980s war with Iraq. It came as part of Israel's “duty to respond” to attacks on it from “Iran and its proxies in the region,” Hagari said. “The Israel Defence Forces has fulfilled its mission,” Hagari said. “If the regime in Iran were to make the mistake of beginning a new round of escalation, we will be obligated to respond.” Israel offered no initial damage assessment. Iran’s state-run media acknowledged blasts that could be heard in Tehran and said some of the sounds came from air defence systems around the city. But beyond a brief reference, Iranian state television for hours offered no other details and even began showing what it described as live footage of men loading trucks at a vegetable market in Tehran in an apparent attempt to downplay the assault. A Tehran resident told The Associated Press that at least seven explosions could be heard in the first wave of attacks, which rattled the surrounding area. The resident spoke on condition of anonymity for fear of reprisals. As explosions sounded, people in Tehran could see what appeared to be tracer fire light up the sky. Other footage showed what appeared to be surface-to-air missiles being launched. Iran closed the country’s airspace early on Saturday, and flight-tracking data analysed by AP showed commercial airlines had broadly left the skies over Iran, and across Iraq, Syria and Lebanon. Iran's move to quickly downplay the attack may offer an avenue for it not to respond, which could risk a further escalation. Meanwhile, in seemingly unrelated violence, an attack on an Iranian police convoy on Saturday in the country's restive southern province of Sistan and Baluchestan killed at least 10 officers, authorities said. Details remain scarce over the attack in Gohar Kuh, some 1,200 kilometres southeast of the Iranian capital, Tehran. Initially, reports simply described an attack by “miscreants” without more information. But shortly after, Iranian state media said 10 officers had been killed. The White House indicated that Israel’s strikes on Iran should end the direct exchange of fire between the two enemy countries, while warning Tehran of “consequences” should it respond. A senior White House official said the administration believed the Israeli operation should “close out” the direct military exchange between Israel and Iran, and said other allies were in agreement. United States President Joe Biden was updated throughout Israel's operation, the official said, while underscoring that the U.S. had no involvement in the attack. The official, who briefed reporters on the condition of anonymity under ground rules set by the White House, said the Israeli operation “was extensive, it was targeted, it was precise.” U.S. Defence Secretary Lloyd Austin spoke with his Israeli counterpart, Yoav Gallant, about Israel’s strikes on military targets in Iran, Maj. Gen. Pat Ryder said late Friday. Austin reiterated that the U.S. was committed to its ally’s security and that Israel has a right to defend itself, though Washington was determined to prevent the conflict from expanding, the Pentagon press secretary said in a statement. Israel and Iran have been bitter foes since the 1979 Islamic Revolution. Israel considers Iran to be its greatest threat, citing its leaders’ calls for Israel’s destruction, their support for anti-Israel militant groups and the country’s nuclear programme. During their years-long shadow war, a suspected Israeli assassination campaign has killed top Iranian nuclear scientists and Iranian nuclear installations have been hacked or sabotaged, all in mysterious attacks blamed on Israel. Meanwhile, Iran has been blamed for a series of attacks on shipping in the Middle East in recent years, which later grew into the attacks by Yemen’s Houthi rebels on shipping through the Red Sea corridor. Meanwhile, Syrian state news agency SANA reported ""barrages of missiles from the direction of the occupied Syrian Golan and Lebanese territories targeted some military sites in the southern and central regions"" of Syria early on Saturday. It said Syria's air defences shot some missiles down, with no information immediately available on casualties. Iran has launched two ballistic missile attacks on Israel in recent months amid the ongoing Israel-Hamas war in the Gaza Strip that began with the Hamas attack on Israel on Oct. 7, 2023. That initial attack killed some 1,200 people and saw 250 others taken hostage back to the seaside enclave. In the time since, more than 42,000 Palestinians have been killed in Gaza, according to Hamas-led local health officials."
Some elderly voters in rural Bulgaria can't reach polling stations,Kristiana Ivanova and Emma De Ruiter,"26/10/2024,15:08 GMT+215:23",Bulgaria,"In the small south-eastern town of Lisitsite, the largely elderly population has no easy way of accessing polling stations for the election on Sunday.","As Bulgarians prepare to vote for a new government on Sunday, residents in rural parts of the country have become disillusioned, and many don't plan to vote at all. In the rural town of Lisitsite, in the country's south, the less than 20 residents are not eager to vote. The town is so remote, many polling stations are hard to reach, and the residents have lost faith in their government to build better infrastructure. ""We have been asking for a road to this place for many years. I am 70 years old, since democracy came not one nail has been driven here, not one,"" says resident Mehmed Ahmed. Nestled in the hills of the Eastern Rhodopes, Lisitsite looks like a dream place to live, but the reality is different. The only way to reach it is by boat or through the neighbouring village of Shiroko Pole, by walking along a railway for nearly three kilometres. From there, the rope bridge leads to the village itself. Many people who live in Lisitsite are elderly, and don't see a point in voting.  ""People are walking with two walking sticks. Most of them are over 80 years old. Two or three years ago they used to go to vote, but now they can't go,"" says Ahmed. In Bulgaria's last election, in June, voter turnout stood at a record low, at just 34%. This Sunday's election is the seventh time people are voting for a new government in just three years. In 2020, mass anti-corruption protests in 2020 toppled a coalition government led by the centre-right GERB party. Since then, a series of elections have led to unstable coalitions led by multiple centrist and right-wing parties. Some observers have labelled the past few years as a period of ""revolving-door governments,"" which has led to considerable apathy amongst voters."
Western and regional leaders call on Iran to show 'restraint' after attack,"Daniel Bellamy
                  with AP","26/10/2024,13:44 GMT+217:50",Europe News,Western and Middle Eastern leaders urged Iran not to engage in escalations after Israel's retaliatory strikes against it early on Saturday.,"Germany's chancellor has responded to Israel's airstrikes on Iran early on Saturday, posting on X: ""My message to Iran is clear: We cannot continue with massive reactions of escalation. This must end now."" In a statement France's foreign ministry urged ""the parties to refrain from any escalation and action likely to aggravate the context of extreme tension prevailing in the region."" British prime minister Keir Starmer urged ""maximum restraint."" Meanwhile, in Washington DC, National Security Council spokesman Sean Savett said the US was urging Iran ""to cease its attacks on Israel so that this cycle of fighting can end without further escalation.” Israel said the airstrikes were a response to the barrage of ballistic missiles the Islamic Republic fired upon it earlier in the month. The Israeli military said its aircraft targeted facilities that Iran used to make missiles fired at Israel as well as surface-to-air missile sites. There was no immediate indication that oil or missile sites were hit — strikes that would have marked a much more serious escalation — and Israel offered no immediate damage assessment. In a statement the EU said: ""The dangerous cycle of attacks and retaliations risks causing a further expansion of the regional conflict."" ""While acknowledging Israel’s right to self-defence, the EU calls on all parties to exercise utmost restraint to avoid an uncontrollable escalation, which is in no one’s interest."" Saudi Arabia was one of multiple countries in the region condemning the strike, calling it a violation of Iran's ""sovereignty and a violation of international laws and norms.” The kingdom’s foreign ministry said it rejected the escalation in the region and “the expansion of the conflict that threatens the security and stability of the countries and people of the region.” The United Arab Emirates ""strongly condemned"" the strikes according to a statement put out by its foreign ministry. Turkey meanwhile accused Israel of having “brought our region to the brink of a greater war” following its strikes on Iran. “Putting an end to the terror created by Israel in the region has become a historic duty in terms of establishing international security and peace,” the Foreign Ministry said in a statement. It also called on the international community to take “immediate action to enforce the law and stop the Netanyahu government.” Iran-backed Hamas called the attack “an escalation targeting the region's security and its people's safety.” But Israel’s opposition leader said the strikes on Iran didn't go far enough. Yair Lapid criticised the decision to avoid “strategic and economic targets"" in the attack. ""We could and should have exacted a much heavier price from Iran,” Lapid wrote on X."
Which European universities and countries file the most patent applications?,Alessio Dell'Anna,"23/10/2024,9:34 GMT+217:06",Europe in Motion,A new study shows a growing contribution of universities to the continent's innovation ecosystem but laments the bloc's fragmentation is crippling the ability to turn high-level scientific research into economic competitiveness.,"A new report by the European Patent Observatory (EPO) shows that patent submissions across the continent are concentrated in just a few places. Half of all direct and indirect patent applications submitted with the European Patent Office between 2000 and 2020 - on a total of over 100,000 - came from only 5% of all European universities. France's University of Grenoble was the most active, with 3,348 submissions, followed by Zurich's ETH (2,219) and Munich's Technical University (2,183). Overall, submissions were the highest in Europe's most industrialised regions, says the report, ""where opportunities for collaboration and technology transfers with industry are greatest."" In terms of countries, Germany submitted the most patent applications (24.09%). France ranks second, (17.97%), followed by the UK, (12.26%), and Italy (6.61%). However, smaller countries like Sweden, Switzerland, Denmark, Belgium, Finland, The Netherlands, and Belgium have the highest number of academic patents per university on average. The most active sectors have been pharmaceuticals (24,944 applications), biotechnology (22,870), measurement (22,870) and analysis of biological materials (8,832). The overall number of applications by European universities has increased steadily in recent decades, from 6.2% of all European patent applications in 2000 to 10.2% in 2019. The report however highlights a fundamental paradox affecting the European economy: Over 20% of patents filed were not exploited commercially. The European advantage in academic research ""has not been necessarily converted into applied technological and economic performance, compared to other advanced economies"" says the document. ""This is what is referred to as the 'European paradox': The difficulties of transforming science into commercialisation in Europe, despite the global leadership of European universities"" - (almost a third of the world's top 100 universities are European, according to the Shanghai Rankings). ""The fact that 10% of startups with European academic patents are headquartered in the US highlights the ongoing difficulties in commercialising new technologies within the EU single market"", researchers say. The biggest issues are market and policy fragmentation, lack of funding in university research and a sort of overall ""anti-risk sentiment"". The diversity of national models in academic patenting poses another challenge, as most knowledge gets only transferred to the local national or regional ecosystem. Mario Draghi's recent report on European competitiveness, as well as Enrico Letta’s on the Single Market's future, argued that such a fragmented ecosystem is to blame for Europe’s struggle in translating innovation into commercialisation. ""Nevertheless, the additional transaction costs tied to multiple national frameworks, and the ability of a few large companies to overcome these barriers by sourcing technology across borders, suggest there is potential for further harmonisation and integration in Europe’s markets for academic inventions."""
Would Donald Trump’s trade tariffs hurt Europe?,Mared Gwyn Jones,"24/10/2024,9:16 GMT+225/10/2024,12:58 GMT+2",EuroVerify,"The EU is increasingly reliant on the US export market, making it vulnerable to the potential shocks of Trump’s trade policy.","Donald Trump has a trade trick up his sleeve that he insists he’s not afraid to use if re-elected in November: a universal tariff of up to 20% on all foreign-imported products. “Outside of love and religion, it's the most beautiful word there is: tariff,” Trump told a North Carolina rally on Monday. A tariff is a tax levied on foreign goods as they enter a country, with the domestic importer expected to foot the bill, at least on paper. Trump has threatened to levy a 60% duty on Chinese products and up to 200% on cars produced in bordering Mexico. The Republican hopeful is counting on the trade tool to propel homegrown US businesses, create jobs and shrink the federal deficit through extra tax revenues. But his critics at home are warning that the economic burden of such tariffs could be passed on to American consumers, while allies abroad — including in Europe — fear the collateral damage of Trump’s tariffs could be devastating. The EU-US trading relationship is the most valuable in the world, worth around €1 trillion in goods and services annually. The EU benefits most from trade in goods, posting a surplus of €156 billion last year alone, against a deficit in services of €104 billion. A blanket tariff of 10% or 20% would make it more expensive for American companies to import EU goods, meaning EU exports across the Atlantic could plunge by as much as a third in some sectors, according to the most radical economic estimates. Sectors such as machinery, vehicles and chemicals — which together made up 68% of EU exports to the US last year — would be hardest hit. It would make Germany, the European bloc’s economic powerhouse, especially vulnerable to shocks, given its reliance on US exports in these sectors. While economists disagree on the extent of the damage, most agree Trump's tariffs would deal a devastating blow to Europe's economy. An across-the-board tariff of 10% would lower the eurozone’s GDP by 1%, according to Goldman Sachs estimates. More radical predictions say Trump's tariffs would make eurozone growth 1.5% lower by 2028. Such a scenario would push the economy — which is already under pressure — to the brink of a recession. Other economists estimate that a 10% tariff could at worst slice off up to 1.6% of Germany’s GDP, while the impact on other major economies such as Spain would be considerably lower at 0.5%. The after-shocks could also include job losses. Transatlantic trade and investment is estimated to directly support around 9.4 million jobs in both the EU and the US, according to European Commission estimates. But the bloc has been reinforcing its trade defence arsenal in recent years, including in response to the steep tariffs imposed by Trump on €6.4 billion in EU steel and aluminium during his first presidency. The trans-Atlantic trade truce that temporarily resolved that Trump-era dispute is due to expire on March 21, 2025, just two months before the next US administration takes office. Trump's vow to slap a 60% tariff on Chinese imported goods poses a real risk the EU could be dragged into an all-out trade war. “A tariff on Chinese goods entering the US would inevitably cause many products to be redirected to the European market,” André Sapir, a senior fellow at Bruegel and former economic advisor to European Commission President Romano Prodi, told Euronews. “The EU would need to respond to that with retaliatory measures. It would need to protect itself.” It could see trade tensions between Brussels and Beijing, which have escalated after an EU decision to impose steep tariffs on China-made electric vehicles, flare up even more. “The EU hasn't been doing what the US has in terms of decoupling from China and reducing imports. This is one of the few things that's been keeping the European economy afloat,” Zach Meyers, assistant director at the Centre for European Reform (CER), explained. “But how long will the US continue to allow Europe to straddle both horses at the same time? I think it’s a difficult question,” he added. The bloc would likely look to strike a deal with Trump before opting for retaliatory tariffs, analysts say. “The EU and others will be keen to offer Trump a carrot, something to give him the facade of saying that he's gotten away with a huge success,” Meyers said. “This is exactly what we saw under the Trump presidency, where you had both the Commission President and Chinese leaders signing these agreements to buy up American goods.” Trump’s own economic advisors could consider limiting his tariff ambitions to avoid potential economic turmoil at home. Economists say the move would inevitably lead to a spike in inflation and that US importing firms could decide to pass on the cost of tariffs to American citizens."
"Rise of mobile payments, transfers, bank cards: How Algeria is transitioning to digital payments",François Chignac,"24/10/2024,15:00 GMT+218:18",World,"In this episode of Algeria Tomorrow, we explore how Algeria is gradually transitioning from cash to digital payments.","Algeria is gradually moving towards a digital payments system. The country saw a 71% increase in digital financial transactions in the first quarter of 2024. The government's push for a modernised financial infrastructure aims to improve efficiency and transparency. However, concerns over data security and public trust remain critical. Algeria's evolving payments landscape represents an important step towards a more connected, cashless economy."
After the Israeli strikes what will Iran do next?,Babak Kamiar,"26/10/2024,11:57 GMT+212:58",Iran,The Iranian government said on Saturday morning that the damage from the airstrikes was 'limited' and that the 'situation is normal.',"After Israel launched a wave of airstrikes against Iran, domestic media and sources close to the Islamic Revolutionary Guard Corps (IRGC) are attempting to downplay it, saying it was a failure. While Israel reports that at least 20 military sites were effectively targeted in a three-phase operation early on Saturday, Iranian semi-official sources have dismissed claims of 140 Israeli fighter jets being involved as “exaggerated Israeli propaganda.” They are also emphasising to Iranians that Israeli leaders directed the attack from bunkers, purportedly out of fear of potential Iranian retaliation. Fatemeh Mohajerani, a spokeswoman for the Iranian government, limited her statement on the damage from the airstrikes, saying it was “limited” and that the “situation is normal.” The regime is also trying to stop photo and video of the damage from the airstrikes reaching the outside world. The Organised Crime Investigation Centre, a subdivision of the IRGC, issued a statement warning Iranian not to cooperate with foreign media, or else face a ten year prison sentence: ""Citizens are informed that any sending of images or news to opposition media or those affiliated with the Zionist regime is considered a crime."" But despite this threat, videos and images of the attack on Israel were shared on social media. As Washington had desired, Israeli leader Benjamin Netanyahu appears to have opted for a more limited series of retaliatory strikes on conventional military targets. Nuclear facilities and oil installations had been seen as possible targets for Israel’s response to Iran’s Oct. 1 attack, before U.S. President Joe Biden's administration won assurances from Israel in mid-October that it would not hit such targets, which would be a more severe escalation. The United States has now warned against further retaliation, indicating that the overnight strikes should end the direct exchange of fire between Israel and Iran. In reality, Israel’s focus on specific military targets, whilst not ideal for the Islamic Republic, was far from the worst-case scenario. A more extensive attack on critical infrastructure—such as oil, electricity, or nuclear facilities—could have driven Iran into even deeper crisis amid the current economic and political instability. US media had earlier noted that if Israel’s response remained limited, Iran would likely refrain from retaliating. The New York Times also reported that Iranian officials have clarified they would respond if Israel’s attacks caused extensive damage and high casualties; however, if Israel kept its strikes to a few military bases and storage facilities for missiles and drones, Iran might opt not to take any counter-action. Iran finds itself in a precarious position, particularly as its regional proxy forces, notably Hezbollah in Lebanon, are significantly weakened.  The regime is aware, at least behind the scenes, that it lacks the military capability to match Israel, which receive billions of euros' worth of US military aid each year. While it is improbable that Iran would officially renounce its right to retaliate, an immediate response does not appear to align with its strategic interests. In the short term, Iranian media and state television will likely emphasise a narrative of “victory” while downplaying or even dismissing some aspects of Israel's retaliatory strike as “fake.” The Iranian regime will likely conceal any damage to ballistic missile production facilities or drone manufacturing plants, capitalising on the limited and perhaps coordinated nature of Israel’s response to control the situation. Of course, concealing the truth is nothing new in Iranian politics, with many examples like the downing of the Ukrainian airplane or Israel's response to Iran's first attack on Israeli soil in April 2024. Regarding Israel’s attack on the Isfahan facility, only a few days ago and for the first time, a senior IRGC commander finally acknowledged the occurrence of this strike. While Iran is expected to maintain the rhetoric of a potential response, it will likely navigate a delicate balance between escalating and de-escalating tensions. Moreover, it is essential to remember that the upcoming U.S. election, less than ten days away, will significantly influence the future policies of both Iran and Israel, and it seems unlikely that the White House would allow tensions to spiral in the remaining days—a prospect that could prompt Iran to shelve the issue for now—a restraint possibly hinted at by Iran’s implicit assurance to stabilise Lebanon and Gaza, which could encourage Tehran to keep the matter quiet. However, the influence of those who benefit from sanctions and the hardliners within Iran’s ruling circles, who see full-scale conflict as their only path to political survival, should not be underestimated either."
At least 126 dead or missing in massive flooding and landslides in Philippines,"Daniel Bellamy
                  with AP","26/10/2024,17:48 GMT+2",Philippines,The number of dead and missing in massive flooding and landslides wrought by Tropical Storm Trami in the Philippines has reached nearly 130.,"President Ferdinand Marcos said on Saturday that many areas remained isolated and that rescue efforts were ongoing. Marcos, who inspected another hard-hit region southeast of Manila on Saturday, said the unusually large volume of rainfall dumped by the storm — including in some areas that saw one to two months’ worth of rainfall in just 24 hours — overwhelmed flood controls in provinces lashed by Trami. ""The water was just too much,” Marcos told reporters. “We’re not done yet with our rescue work,” he said. “There are still many areas that remained flooded and could not be accessed even big trucks."" His administration, Marcos said, would plan to start work on a major flood control project that can meet the unprecedented threats posed by climate change. Trami blew away from the north-western Philippines on Friday, leaving at least 85 people dead and 41 others missing in in one of the Southeast Asian archipelago’s deadliest and most destructive storms so far this year, the government’s disaster-response agency said. The death toll was expected to rise as reports come in from previously isolated areas. Dozens of police, firefighters and other emergency personnel, backed by three backhoes and sniffer dogs, dug up one of the last two missing villagers in the lakeside town of Talisay in Batangas province Saturday. A father, who was waiting for word on his missing 14-year-old daughter, wept as rescuers placed the remains of one person in a black body bag. Distraught, he followed police officers, who carried the body bag down a mud-strewn village alley to a police van. The man said he was sure it was his daughter, but authorities needed to do checks to confirm the identity of the villager dug up in the mound. In a nearby basketball gym at the town centre, more than a dozen white coffins were laid side by side, bearing the remains of those found in the heaps of mud, boulders and trees that cascaded Thursday afternoon down the steep slope of a wooded ridge in Talisay's Sampaloc village. More than five million people were in the path of the storm, including nearly half a million who mostly fled to more than 6,300 emergency shelters in several provinces, the government agency said. In an emergency Cabinet meeting, Marcos raised concerns over reports by government forecasters that the storm — the 11th to hit the Philippines this year — could make a U-turn next week as it is pushed back by high-pressure winds in the South China Sea. It was forecast to batter Vietnam over the weekend, if it doesn't veer off course. The government had shut down schools and government offices for the third day on Friday to keep millions of people safe on the main northern island of Luzon. Inter-island ferry services were also suspended, stranding thousands. Weather has cleared in many areas on Saturday, allowing clean-up work in most areas. Each year, about 20 storms and typhoons batter the Philippines, a Southeast Asian archipelago which lies between the Pacific Ocean and the South China Sea. In 2013, Typhoon Haiyan, one of the strongest recorded tropical cyclones, left more than 7,300 people dead or missing and flattened entire villages."
